address,protocol,propertyid,ecosystem,balanceavailable,balancereserved,balanceaccepted,lasttxdbserialnum
1BHQeERPiQfQbxc1NYgoYosWqWguKprhkH,Omni,1,Production,220466081,0,0,
1BMpnWtwT8yCaYrncb2K9HCeE1NMQKX5xv,Omni,1,Production,23044887566,0,0,
1BQtQSNPhm7fJMQagc8BrEEvcDNLEkB4J9,Omni,1,Production,5162691711,0,0,
1BmPgrDRGJouzPJdtDzXb6KhYDbBi9fy9B,Omni,1,Production,20081888228,0,0,
1CJcDhymhoMRqFHQzX9hxq7NBjrmy9EYEo,Omni,1,Production,20150729167,0,0,
1CQqn1Rx55B5peP7WoucYFMptqM3ASZB6W,Omni,1,Production,153047593,0,0,
1CooyTFrq7iUh6ATMxCE4nNgHdgJox8Fxd,Omni,1,Production,20025469577,0,0,
1CsG4xVTbJe37gZioPTvPReaoUtWdBBvsq,Omni,1,Production,10974594793,0,0,
1D5bcwsAvw8nNb66Pu2nw9BZyfg6kkUtUx,Omni,1,Production,5305650674,0,0,
1D8CrjDtEv3cHm91jjk15ix8yeS8oKDzmE,Omni,1,Production,5011970899,0,0,
1DLyCnaUYVgux9L3MPWkH1VHQXTHoTUC9r,Omni,1,Production,5944117890,0,0,
1DSeB9NW2VDeG26Th4fmRGMf6sxww215mZ,Omni,1,Production,221693981,0,0,
1Df8GTfWasZHJ4svNXR9sGrmXzTRt1Z5BT,Omni,1,Production,50024603175,0,0,
1DmuFKdM3wpD9rDubQa75b8og2HdS6mD9g,Omni,1,Production,1440052249,0,0,
1DoUJcTZMMHN7fMfg2aQE6ohZKXroyXyWW,Omni,1,Production,17236738095,0,0,
1Dswt3PZQrR9NPcTDRjVZxZbEjpvDfHnjv,Omni,1,Production,100376042,0,0,
1Dv1tvyWfvRK3QHb3dZAMWLUKzL6Ddad2F,Omni,1,Production,72016089,0,0,
1EDDiekhvJVCZpfrYSHPCitnzLgrXUXutt,Omni,1,Production,52709918155,0,0,
1EPsEDXYuQV6nmHE5wgwtJmoiD3T1AXwsW,Omni,1,Production,28417815104,0,0,
1EYwqZCP6tZJhmADMQtKdex9gWdrsPd4Jo,Omni,1,Production,50058667574,0,0,
1EfH4Sz6CKxpq8svB2ZfuYqNxZo1jHuwsx,Omni,1,Production,10636585462,0,0,
1EnVK4yMdfAQHoJ1q2WBSFXxbwERoeNfYc,Omni,1,Production,108048843,0,0,
1EuFaVybvZij2hAfmRcDYAEmBqRLGRQXan,Omni,1,Production,30985218745,0,0,
1ExeGhKKnTwMps5R8d4PyKvdp42dK8cKpx,Omni,1,Production,10881421958,0,0,
1FC9RHREEsUszQHapstfkFcHVwv9ye2QpR,Omni,1,Production,10535380291,0,0,
1FCVjvfKtLYpUq31S7CfMG9EqqEUtw2Pem,Omni,1,Production,1425958333,0,0,
1Fi5NGyKoLu1RGveRs9VvjRpVq3kAAoqMa,Omni,1,Production,5442049438,0,0,
1G4viUH23ktwEBoistLTmCvN2DuWeBfaob,Omni,1,Production,4864758466,0,0,
1GPwJvMpB4vJPuMwHs9JDAZm9Lh66Y2qnS,Omni,1,Production,249558201,0,0,
1Gy2XEo7aF4SsTAjz6ZWfdkiRnDuNpnMP7,Omni,1,Production,12994790766,0,0,
1HgwzP12Y8jvE6iT4TLWE96zPaFkXPSGL2,Omni,1,Production,10120548817,0,0,
1HonwLhETda1hQc4uLA6bzhXH4CUaBmHGb,Omni,1,Production,10145415013,0,0,
1JMKBtZbqhZFbJ9GdFdupTy4tGd2Q797JJ,Omni,1,Production,1048728340,0,0,
1JRfc5W459i9PAPiGDvTUuJve9fn9z6YjK,Omni,1,Production,14419591601,0,0,
1JqNVmZBrCvT19he79L4F2YWxydWZ3mQ14,Omni,1,Production,10046987434,0,0,
1JvXUatqyiBs1gsp2vYopyc9QnStfVn2F1,Omni,1,Production,72216013558,0,0,
1KEr24zCxEwf4WAdwAQ8gy3grsXGfFPaGy,Omni,1,Production,7394243,0,0,
1KGWhADxrefkLZHhthnJ4HkEsu5t9zVPF1,Omni,1,Production,19963009722,0,0,
1KJ8Q3PaVvyjV8GdVMha7VXPaBuipdEFG1,Omni,1,Production,2257171726,0,0,
1KaM6ANCsKgFnsTRUXnNZzHT5ZLpnRsf3t,Omni,1,Production,60905935847,0,0,
1Ki1Uxc1P1HRfk7Awq8ayZghzwGCsYWe9o,Omni,1,Production,107687855490,0,0,
1Kqy5J4KdYCYG9N7rWRQdq1wfBGmQiPG1n,Omni,1,Production,11408598477,0,0,
1L9bbsESqmaKWsstrDETuZpD1BjLdy94ah,Omni,1,Production,10097524802,0,0,
1LLnRXbnVuq7h3Dtap64wXuw76nnjPnjYi,Omni,1,Production,54686718948,0,0,
1Ls3wRUtiTv8fXcjXpT5LYjuxJ7rwWCEKb,Omni,1,Production,100146842,0,0,
1LzbWC9xo4TC5j6P3tjYT3fJVQ5XpaYADE,Omni,1,Production,5002460317,0,0,
1MLPjJ4iDXpAnzgon9u34ZxnSjTHztxRCP,Omni,1,Production,10034031085,0,0,
1MQCRE2ePC1M1AgseWar49ncY1Dyk5MGWN,Omni,1,Production,21647609231,0,0,
1MR9wDhmKVRDcVcpm2c4BB71SR9yTYdBvg,Omni,1,Production,53524926142,0,0,
1MWs4JQHn9aY9BQXXqV9bnSZVX3Ecggz9i,Omni,1,Production,26263277213,0,0,
1MZH2ixqERRzuW9Ha7xqbyGoMZyfo4dv4h,Omni,1,Production,10105335648,0,0,
1McQ3KF6eY69a1oJiJhCJj9GcJawFq3vUG,Omni,1,Production,695102440,0,0,
1MnW3JgujMavTzBCiZyfxigDhu9pnDE7dU,Omni,1,Production,10040944114,0,0,
1ModAtK5caWTxktKr6EfnEsQQddfVGXaHX,Omni,1,Production,12162387203,0,0,
1MstrCofqGJQ73bGwdTxj2Uo7EqRxUDWAo,Omni,1,Production,2506322751,0,0,
1NHaFCh2fYzqghh8S7YN5fX4xpSY6W3tBz,Omni,1,Production,1322364477,0,0,
1NVwVUhm4tHxpGZg6AMSNmxYMUwkyQe1fn,Omni,1,Production,5386860946,0,0,
1NYdPSXbWxWQMXG8BhnXYUhFaLFAoyeHR3,Omni,1,Production,15450215782,0,0,
1NZCgBRmEcidNNNCWiccVDEvVRkV2CD7q2,Omni,1,Production,10710864749,0,0,
1NeVKGMiNZ6fuoZmVRthTBNw1cJ3MGevwU,Omni,1,Production,55215541914,0,0,
1NgxPxvnswGG85FzjrBQ2tet1sCXpCzhg4,Omni,1,Production,10043457341,0,0,
1NhAB2xGPosYjooSqJET6eJy2ks15A6CNm,Omni,1,Production,1215738294,0,0,
1NocfrxnLadDjfy5XR1JsSgdVsw8ChxCLA,Omni,1,Production,1004658399,0,0,
1P2KXwVg2h4iDSqiQf4tCkSL2XEVTAyqrB,Omni,1,Production,133340029762,0,0,
1PBk85ohrvbiTpDCMxjufAbFfCg3ZdXn8e,Omni,1,Production,5459414683,0,0,
1PY5X3hbcy6timNa9CQJzzwLeJgvDJ4Dik,Omni,1,Production,249558201,0,0,
1Po9mw5bbgx3HxHZ8Vch24XcmHTiFTRDuW,Omni,1,Production,200319874339,0,0,
1Pohx6GPsnvnEsYWRRdaK7GVAUkHW56R2K,Omni,1,Production,2089444444,0,0,
1Q2kjs7MjWgCtf8CfVkXHUkAeKbaMqrK9R,Omni,1,Production,10892384259,0,0,
1RavenHqiZ7euZ1ETKkKP74h5SPLovdF6,Omni,1,Production,1063476071,0,0,
1RjrXzEhSsbTMYw2XJrvt6fSiKU9mGeRZ,Omni,1,Production,8271059380,0,0,
1VDTthqUv8bjmFePNxEXTNttkaTWfKdDi,Omni,1,Production,9520257202,0,0,
1VP9VM2Kk9SNLRDTJzsEe3WtoKLwWfnmc,Omni,1,Production,21042979497,0,0,
1nivsN37oY13sqNoxzPa3nZrDVQzWGBYD,Omni,1,Production,4328703723,0,0,
1nuMbaCBZhDsEe3oKnHY7FtFUtbd1fckf,Omni,1,Production,10662311508,0,0,
17uK6u4nTbWv3h6WNKg7ejxmgXvy4qebBY,Omni,2,Test,643798,0,0,
194iAz9vJw6tXbxpVZ22YWaYyWDL1QCBDz,Omni,2,Test,643798,0,0,
112xdxgBpCV6TCAXrJ3Cfv3cXQwGyHbH6L,Omni,1,Production,10004920635,0,0,
1oC8H1TZ7JLrt5iD5QtEpBa4p1Nfh8oXG,Omni,1,Production,6098439153,0,0,
1LX1Nv7C6RnR18ir3r5GrmyVvG1yy2EnRa,Omni,1,Production,573773946346,0,0,
1KDCt8VoY45ya3QnExwtZEdugAnRAncr1Z,Omni,1,Production,212053654101,0,0,
1K9ETVUmDcfahqzoanBBmbaDqVmUmqrQJS,Omni,1,Production,588810138889,0,0,
1JU1GS7GyHg6XYqq5JjNUquzsWgHoUFAGR,Omni,1,Production,238423635218,0,0,
1FLyLEzRvV5ucRaHBcXfhqSQnwjsnCaVhH,Omni,1,Production,208675000000,0,0,
196V2uB471HoMHwbkQRQRiwd3aYpU6RtWg,Omni,1,Production,5994129166667,0,0,
18fjRdAxg1aQbw1DeNM68nsD2PiEfayqfJ,Omni,1,Production,302451636905,0,0,
17CoqK7cqNVLyv1CawzsGT12eTMP2fmHuy,Omni,1,Production,202585582011,0,0,
163dXoX3bfrM8t8DwbhzfHdGYNQfYfXhK6,Omni,1,Production,703514632937,0,0,
1Mxuru2YEg9dZ1jGSoEks3BfP7Ee1LaXAd,Omni,1,Production,10045160384,0,0,
1BhbBYtVSYqGifvPhien4B18MjMGLi8T6h,Omni,1,Production,10100730820,0,0,
1JzN8RsgCTbbJcjLa9dH93GkehcmNxxZTL,Omni,1,Production,30107496694,0,0,
1HxMra2tkzjD4FmGWyBCJdECL4iiM9oGSk,Omni,1,Production,14292988127,0,0,
12jxqC2xCdwT35dCYiUQ9ad5rNCoehzyc2,Omni,1,Production,32510178542,0,0,
1CFQgs77DDuixrNYqkj4RoQGrSgJmVcaiH,Omni,1,Production,10644222884,0,0,
1BV3rErytJmf17NNQfzHkHYakgweq4HzEx,Omni,1,Production,51581299603,0,0,
1RodtRU2EJ7DMgZCjgznivm5yqoeu8Lgh,Omni,1,Production,47450662438,0,0,
1HavyitVfgfbX6q9vprFgU8emXtixixEwY,Omni,1,Production,16015267580,0,0,
18XV6qXP7U7HV22Y1PajAiuLfGbkBc3Jfg,Omni,1,Production,26142960482,0,0,
14vTNM7pZiG6qZbmf2A8J1x9wLdYTHvcPX,Omni,1,Production,18120322007,0,0,
112xdxgBpCV6TCAXrJ3Cfv3cXQwGyHbH6L,Omni,2,Test,10004920635,0,0,
125ana9EZ9HJotBNnGsUqecsp7MzT9Z5Qe,Omni,2,Test,19151128009,0,0,
12SdZk7Gd19zbvQZDF447PpHSpGY5SGYE2,Omni,2,Test,480998334741,0,0,
12VamRhmcgsWWKWdNuzWqVYTvnuk2Dsx9b,Omni,2,Test,220562833994,0,0,
12jxqC2xCdwT35dCYiUQ9ad5rNCoehzyc2,Omni,2,Test,32510178542,0,0,
12sVF4gaKPk1kmGaG8XxtoqgLMxWXr6ReE,Omni,2,Test,5391898148,0,0,
12y5do1mEWJcrawDq3p66Zd9NSUdWUAqYF,Omni,2,Test,500348793,0,0,
134qMRPNjXbwnq73KBDyEzH3BWqgDSK8f4,Omni,2,Test,29375370365,0,0,
138deo1VUkgWmptS8NWnBqVwqWfZx1Q494,Omni,2,Test,20062291667,0,0,
13CsP5SArN7fPXcXkcH331PPEuzCXdo5i4,Omni,2,Test,21079411376,0,0,
13FrZaxxAWuFUqsmRVatp88h6EKTwmUrtj,Omni,2,Test,11227826983,0,0,
13X7yRvpDf1NKLhzsYHaghfNJQ8JpXTa7N,Omni,2,Test,89930898042,0,0,
13aJiZTQYMYSkfT9E366jdKbZgPTtzA2kw,Omni,2,Test,13055739087,0,0,
13dFPB1ag1WsJKBWoUp6yUiKYDKvUGFEdz,Omni,2,Test,35844283234,0,0,
13kMuArrYxHpxiVtqUgtYK6viv6JvaBRt4,Omni,2,Test,10075623347,0,0,
13qGRH1n7dFeroYhjd5xktmWo4uzbVPbcS,Omni,2,Test,20188501984,0,0,
13reFpj413XUoU3aHNbkPepd11Ha6Hi212,Omni,2,Test,10063083664,0,0,
13sbvde5fYHeM4UxKJpRxFv7a9MjaKdqPT,Omni,2,Test,25881610614,0,0,
142p4ML8aXvMAnVjEZMBzyP1c6nauhtufi,Omni,2,Test,1008742728,0,0,
144PHZQoDNfhGwUFtAKayDyJSVQm1YkyHm,Omni,2,Test,20007218915,0,0,
14AqQW1tKzfRnMAgKxTdDedYJ3KoUVC9ei,Omni,2,Test,10046583995,0,0,
14CQGTcpq6pduhRUKC5SEShBZHiJJHiKMT,Omni,2,Test,14372771164,0,0,
14FaL26kCyEsN4NviMEv3wPQvQGuwodyDr,Omni,2,Test,5931781217,0,0,
14KxxiYghzaMiu6Ygcp1q8H4JGWViXLjua,Omni,2,Test,1435843585,0,0,
14MUti4hZhpnqeqswfHxLWFbYQ1GqezJEY,Omni,2,Test,9094522295,0,0,
14PVGnM5F8HfbiphzcSFSAgAcecUywadZQ,Omni,2,Test,1012004299,0,0,
14REHKxxXicArkZuvfA7DkXeoqgWXZ2pzo,Omni,2,Test,10019444444,0,0,
14vTNM7pZiG6qZbmf2A8J1x9wLdYTHvcPX,Omni,2,Test,18120322007,0,0,
157FxpGB4ds4sXjSjXqwAXk7WQQSAojNFJ,Omni,2,Test,19385907738,0,0,
15H4EyX75muU78MQTHgNj9S75RbGVtZjJW,Omni,2,Test,28566481481,0,0,
15KDDJeiiZqSAy8ff2waWgagP82zUrj37c,Omni,2,Test,3009574405,0,0,
15KPAgwFaRQYxqCV95r6qTHCZgtr9HJVtZ,Omni,2,Test,6331183862,0,0,
15PmgreEf44t2sLwUohspit2DNdmf8nioa,Omni,2,Test,50134334,0,0,
15XJoDF4xCUrWX3ES9ftWq3wnGhuRsqrLk,Omni,2,Test,6055548942,0,0,
15bPHecc5crhXxLnWy11ED8epfGqeBeS5t,Omni,2,Test,218259954,0,0,
